# Column      Data                             Source
# ID          HITRAN molecule ID               --
# Molecule    Molecule name                    --
# Iso         Isotope ID                       AFGL code
# gi          State-independent stat. weight   Simeckova et al. (2006),
#                                              TIPS code.
#                                              Rothman et al (2013).
# Iso ratio   Isotopic ratio                   Simeckova et al. (2006).
#                                              Rothman et al (2013).
# Iso mass    Isotopic mass (amu)              Lide (2008) Handbook of chem.

# ID Molecule Iso        gi         Iso ratio    Iso mass
41   CH3CN   2124         3         9.739e-01    41.02654910
42   CF4       29         1         9.889e-01    87.99361288
43   C4H2    2211         1         9.560e-01    50.01565006
44   HC3N   12224         6         9.633e-01    51.01089903
45   H2        11         1         9.997e-01     2.01565006
45   H2        12         6         3.114e-04     3.02192681
46   CS        22         1         9.396e-01    43.97207100
46   CS        24         1         4.168e-02    45.96786690
46   CS        32         2         1.056e-02    44.97542583
46   CS        23         4         7.417e-03    44.97145876
47   SO3       26         1         9.434e-01    95.95172944
48   C2N2    4224         1         0            0
48   C2N2    5225         1         0            0
49   SO        26         1         0            0
49   SO        46         1         0            0
49   SO        28         1         0            0
50   C3H4    1221         2         0            0
51   CH3     2111         1         0            0
52   CS2      222         1         0            0
52   CS2      224         1         0            0
52   CS2      223         4         0            0
52   CS2      232         2         0            0
