CCl2F2         CCl2F2_g
CCl2           CCl2_g
CCl3F          CCl3F_g
CCl3           CCl3_g
CCl4           CCl4_g
CClF3          CClF3_g
CCl            CCl_g
CF2            CF2_g
CF2_ion_p      CF2_ion_p_g
CF3CN          CF3CN_g
CF3            CF3_g
CF3_ion_p      CF3_ion_p_g
CF3OF          CF3OF_g
CF3SF5         CF3SF5_g
CF4            CF4_g
CF             CF_g
CF_ion_p       CF_ion_p_g
C              C_g
CH2Cl2         CH2Cl2_g
CH2ClF         CH2ClF_g
CH2F2          CH2F2_g
CH2            CH2_g
CH3Cl          CH3Cl_g
CH3F           CH3F_g
CH3            CH3_g
CH4            CH4_g
CHCl2F         CHCl2F_g
CHCl3          CHCl3_g
CHClF2         CHClF2_g
CHCl           CHCl_g
CHF3           CHF3_g
CHF            CHF_g
CH             CH_g
CH_ion_p       CH_ion_p_g
CHP            CHP_g
CIF3           CIF3_g
C_ion_n        C_ion_n_g
C_ion_p        C_ion_p_g
Cl2O           Cl2O_g
Cl2            Cl2_ref
ClCN           ClCN_g
ClF3           ClF3_g
ClF5           ClF5_g
ClF            ClF_g
Cl             Cl_g
Cl_ion_n       Cl_ion_n_g
Cl_ion_p       Cl_ion_p_g
ClO2           ClO2_g
ClO3F          ClO3F_g
ClO            ClO_g
ClSSCl         ClSSCl_g
(CN)2          (CN)2_g
CN             CN_g
CNI            CNI_g
CN_ion_n       CN_ion_n_g
CN_ion_p       CN_ion_p_g
CNN            CNN_g
CO2            CO2_g
CO2_ion_n      CO2_ion_n_g
Co3O4          Co3O4_cr
(CoCl2)2       (CoCl2)2_g
CoCl2          CoCl2_g
COCl2          COCl2_g
CoCl3          CoCl3_g
COClF          COClF_g
COCl           COCl_g
CoCl           CoCl_g
Co             Co_g
CoF2           CoF2_g
COF2           COF2_g
CoF3           CoF3_cr
COF            COF_g
CO             CO_g
Co_ion_n       Co_ion_n_g
Co_ion_p       Co_ion_p_g
CoO            CoO_cr
COS            COS_g
CoSO4          CoSO4_cr
CP             CP_g
Cr23C6         Cr23C6_cr
Cr2N           Cr2N_cr
Cr2O3          Cr2O3_l
Cr3C2          Cr3C2_cr
Cr7C3          Cr7C3_cr
Cr             Cr_g
Cr_ion_n       Cr_ion_n_g
Cr_ion_p       Cr_ion_p_g
CrN            CrN_g
CrO2           CrO2_g
CrO3           CrO3_g
CrO            CrO_g
CS2            CS2_g
Cs2            Cs2_g
Cs2O           Cs2O_g
Cs2SO4_cr      Cs2SO4_cr_I
Cs2SO4         Cs2SO4_g
(CsCl)2        (CsCl)2_g
CsCl           CsCl_g
Cs             Cs_g
(CsF)2         (CsF)2_g
CsF            CsF_g
CS             CS_g
Cs_ion_n       Cs_ion_n_g
Cs_ion_p       Cs_ion_p_g
CsO            CsO_g
(CsOH)2        (CsOH)2_g
CsOH           CsOH_g
CsOH_ion_p     CsOH_ion_p_g
Cu2            Cu2_g
Cu2O           Cu2O_l
CuCl2          CuCl2_cr
(CuCl)3        (CuCl)3_g
CuCl           CuCl_g
CuCN           CuCN_cr
Cu             Cu_g
CuF2           CuF2_g
CuF            CuF_g
Cu_ion_n       Cu_ion_n_g
Cu_ion_p       Cu_ion_p_g
CuO            CuO_g
CuO.CuSO4      CuO.CuSO4_cr
Cu(OH)2        Cu(OH)2_cr
CuSO4          CuSO4_cr
D2_ion_n       D2_ion_n_g
D2_ion_p       D2_ion_p_g
D2O            D2O_g
D2             D2_ref
D2S            D2S_g
DCl            DCl_g
DF             DF_g
D              D_g
D_ion_n        D_ion_n_g
D_ion_p        D_ion_p_g
DNND           DNND_g
DOCl           DOCl_g
e_ion_n        e_ion_n_ref
F2             F2_ref
FCN            FCN_g
Fe0.877S       Fe0.877S_cr
Fe0.947O       Fe0.947O_cr
Fe2O3          Fe2O3_cr
Fe2(SO4)3      Fe2(SO4)3_cr
Fe3O4          Fe3O4_cr
(FeBr2)2       (FeBr2)2_g
FeBr2          FeBr2_g
(FeCl2)2       (FeCl2)2_g
FeCl2          FeCl2_g
(FeCl3)2       (FeCl3)2_g
FeCl3          FeCl3_g
FeCl           FeCl_g
Fe(CO)5        Fe(CO)5_g
Fe_cr          Fe_cr_Gamma
Fe             Fe_g
FeF2           FeF2_g
FeF3           FeF3_g
FeF            FeF_g
(FeI2)2        (FeI2)2_g
FeI2           FeI2_g
Fe_ion_n       Fe_ion_n_g
Fe_ion_p       Fe_ion_p_g
FeO            FeO_g
Fe(OH)2        Fe(OH)2_g
Fe(OH)3        Fe(OH)3_cr
FeS2_cr        FeS2_cr_Marcasite
FeS            FeS_g
FeSO4          FeSO4_cr
F              F_g
F_ion_n        F_ion_n_g
F_ion_p        F_ion_p_g
FNNF_g         FNNF_g_Cis
FONO2          FONO2_g
FSSF           FSSF_g
Ga             Ga_g
Ga_ion_n       Ga_ion_n_g
Ga_ion_p       Ga_ion_p_g
H2CO           H2CO_g
H2_ion_n       H2_ion_n_g
H2_ion_p       H2_ion_p_g
H2O            H2O_g
H2O_l-g        H2O_l-g_Bar
H2             H2_ref
H2S            H2S_g
H2SO4.2H2O     H2SO4.2H2O_cr-l
H2SO4.3H2O     H2SO4.3H2O_cr-l
H2SO4.4H2O     H2SO4.4H2O_cr-l
H2SO4.6.5H2O   H2SO4.6.5H2O_cr-l
H2SO4.H2O      H2SO4.H2O_cr-l
H3BO3          H3BO3_g
H3F3           H3F3_g
H3O_ion_p      H3O_ion_p_g
H3PO4          H3PO4_l
H4F4           H4F4_g
H5F5           H5F5_g
H6F6           H6F6_g
H7F7           H7F7_g
(HBO2)3        (HBO2)3_g
HBO2           HBO2_g
HBO            HBO_g
HBO_ion_n      HBO_ion_n_g
HBO_ion_p      HBO_ion_p_g
HBr            HBr_g
HBS            HBS_g
HBS_ion_p      HBS_ion_p_g
HCl            HCl_g
HCN            HCN_g
HCOF           HCOF_g
HCO            HCO_g
HCO_ion_p      HCO_ion_p_g
HD             HD_g
HD_ion_n       HD_ion_n_g
HD_ion_p       HD_ion_p_g
HDO            HDO_g
He_ion_p       He_ion_p_g
He             He_ref
(HF)2          (HF)2_g
Hf_cr          Hf_cr_Alpha
Hf             Hf_g
HF             HF_g
Hf_ion_n       Hf_ion_n_g
Hf_ion_p       Hf_ion_p_g
Hg2Br2         Hg2Br2_cr
Hg2Cl2         Hg2Cl2_cr
Hg2F2          Hg2F2_cr
Hg2I2          Hg2I2_l
HgBr2          HgBr2_g
HgBr           HgBr_g
HgCl2          HgCl2_g
HgCl           HgCl_g
Hg             Hg_g
HgF2           HgF2_g
HgF            HgF_g
HgH            HgH_g
HgI2           HgI2_g
HgI            HgI_g
Hg_ion_p       Hg_ion_p_g
HgO            HgO_g
H              H_g
HI             HI_g
H_ion_n        H_ion_n_g
H_ion_p        H_ion_p_g
HNCO           HNCO_g
HNNH           HNNH_g
HNO            HNO_g
HOCl           HOCl_g
HOF            HOF_g
HONO2          HONO2_g
HONO_g         HONO_g_Cis
HOO            HOO_g
HOOH           HOOH_g
HS             HS_g
HSO3F          HSO3F_g
I2             I2_g
IBr            IBr_g
ICl            ICl_g
IF5            IF5_g
IF7            IF7_g
IF             IF_g
I              I_g
I_ion_n        I_ion_n_g
I_ion_p        I_ion_p_g
K2B4O7         K2B4O7_l
K2B6O10        K2B6O10_cr
K2B8O13        K2B8O13_l
K2CO3          K2CO3_l
K2             K2_g
K2O2           K2O2_cr
K2O            K2O_cr
K2S            K2S_l
K2SiO3         K2SiO3_l
K2SO4_cr       K2SO4_cr_Alpha
K2SO4          K2SO4_g
K3Al2Cl9       K3Al2Cl9_cr
K3AlCl6        K3AlCl6_cr
K3AlF6         K3AlF6_cr
KAlCl4         KAlCl4_cr
KBF4           KBF4_g
KBH4           KBH4_cr
KBO2           KBO2_g
(KBr)2         (KBr)2_g
KBr            KBr_g
(KCl)2         (KCl)2_g
KCl            KCl_g
KClO4          KClO4_cr
(KCN)2         (KCN)2_g
KCN            KCN_g
K              K_g
(KF)2          (KF)2_g
KF2_ion_n      KF2_ion_n_g
KF             KF_g
KH             KH_g
K(HF2)         K(HF2)_l
(KI)2          (KI)2_g
KI             KI_g
K_ion_n        K_ion_n_g
K_ion_p        K_ion_p_g
KO2            KO2_cr
KO             KO_g
(KOH)2         (KOH)2_g
KOH            KOH_g
KOH_ion_p      KOH_ion_p_g
KO_ion_n       KO_ion_n_g
Kr_ion_p       Kr_ion_p_g
Kr             Kr_ref
Li2B4O7        Li2B4O7_l
Li2B6O10       Li2B6O10_cr
Li2B8O13       Li2B8O13_cr
Li2BeF4        Li2BeF4_l
Li2C2          Li2C2_cr
Li2ClF         Li2ClF_g
Li2CO3         Li2CO3_l
Li2            Li2_g
Li2O2          Li2O2_cr
Li2O           Li2O_g
Li2Si2O5       Li2Si2O5_l
Li2SiO3        Li2SiO3_l
Li2SO4_cr      Li2SO4_cr_Alpha
Li2SO4         Li2SO4_g
Li2TiO3        Li2TiO3_l
Li3AlF6        Li3AlF6_l
Li3N           Li3N_cr
LiAlF4         LiAlF4_g
LiAlH4         LiAlH4_cr
LiAlO2         LiAlO2_l
LiBeF3         LiBeF3_g
LiBH4          LiBH4_cr
LiBO2          LiBO2_g
(LiBr)2        (LiBr)2_g
LiBr           LiBr_g
(LiCl)2        (LiCl)2_g
(LiCl)3        (LiCl)3_g
LiCl           LiCl_g
LiClO4         LiClO4_l
Li             Li_g
(LiF)2         (LiF)2_g
LiF2_ion_n     LiF2_ion_n_g
(LiF)3         (LiF)3_g
LiF            LiF_g
LiH            LiH_g
(LiI)2         (LiI)2_g
LiI            LiI_g
Li_ion_n       Li_ion_n_g
Li_ion_p       Li_ion_p_g
LiN            LiN_g
(LiO)2         (LiO)2_g
LiOCl          LiOCl_g
LiOF           LiOF_g
LiO            LiO_g
(LiOH)2        (LiOH)2_g
LiOH           LiOH_g
LiOH_ion_p     LiOH_ion_p_g
LiO_ion_n      LiO_ion_n_g
LiONa          LiONa_g
LiON           LiON_g
Mg2C3          Mg2C3_cr
Mg2            Mg2_g
Mg2Si          Mg2Si_l
Mg2SiO4        Mg2SiO4_l
Mg2TiO4        Mg2TiO4_l
Mg3N2          Mg3N2_cr
Mg3P2O8        Mg3P2O8_l
MgAl2O4        MgAl2O4_l
MgB2           MgB2_cr
MgB4           MgB4_cr
(MgBr2)2       (MgBr2)2_g
MgBr2          MgBr2_g
MgBr2_ion_p    MgBr2_ion_p_g
MgBr           MgBr_g
MgC2           MgC2_cr
(MgCl2)2       (MgCl2)2_g
MgCl2          MgCl2_g
MgClF          MgClF_g
MgCl           MgCl_g
MgCl_ion_p     MgCl_ion_p_g
MgCO3          MgCO3_cr
Mg             Mg_g
(MgF2)2        (MgF2)2_g
MgF2           MgF2_g
MgF2_ion_p     MgF2_ion_p_g
MgF            MgF_g
MgF_ion_p      MgF_ion_p_g
MgH2           MgH2_cr
MgH            MgH_g
MgI2           MgI2_g
MgI            MgI_g
Mg_ion_p       Mg_ion_p_g
MgN            MgN_g
MgO            MgO_g
Mg(OH)2        Mg(OH)2_g
MgOH           MgOH_g
MgOH_ion_p     MgOH_ion_p_g
MgS            MgS_g
MgSiO3         MgSiO3_l
MgSO4          MgSO4_l
MgTi2O5        MgTi2O5_l
MgTiO3         MgTiO3_l
MgWO4          MgWO4_cr
Mn             Mn_g
Mn_ion_p       Mn_ion_p_g
Mo2S3          Mo2S3_l
MoBr2          MoBr2_g
MoBr3          MoBr3_g
MoBr4          MoBr4_g
MoBr           MoBr_g
MoCl4          MoCl4_g
MoCl5          MoCl5_g
MoCl6          MoCl6_g
Mo             Mo_g
MoF2           MoF2_g
MoF3           MoF3_g
MoF4           MoF4_g
MoF4O          MoF4O_g
(MoF5)2        (MoF5)2_g
(MoF5)3        (MoF5)3_g
MoF5           MoF5_g
MoF6           MoF6_g
MoF            MoF_g
MoI2           MoI2_g
MoI3           MoI3_g
MoI4           MoI4_g
MoI            MoI_g
Mo_ion_n       Mo_ion_n_g
Mo_ion_p       Mo_ion_p_g
MoO2.750       MoO2.750_cr
MoO2.875       MoO2.875_cr
MoO2.889       MoO2.889_cr
MoO2Cl2        MoO2Cl2_g
MoO2           MoO2_g
MoO3           MoO3_g
MoO            MoO_g
MoS2           MoS2_cr
N2F4           N2F4_g
N2H4           N2H4_g
N2_ion_n       N2_ion_n_g
N2_ion_p       N2_ion_p_g
N2O3           N2O3_g
N2O4           N2O4_g
N2O5           N2O5_g
N2O            N2O_g
N2O_ion_p      N2O_ion_p_g
N2             N2_ref
N3             N3_g
Na2B4O7        Na2B4O7_l
Na2B6O10       Na2B6O10_cr
Na2CO3         Na2CO3_l
Na2            Na2_g
Na2O2          Na2O2_cr
Na2O           Na2O_l
Na2S2          Na2S2_l
Na2S           Na2S_l
Na2Si2O5       Na2Si2O5_l
Na2SiO3        Na2SiO3_l
Na2SO4_cr      Na2SO4_cr_Delta
Na2SO4         Na2SO4_g
Na2WO4         Na2WO4_cr
Na3AlCl6       Na3AlCl6_cr
Na3AlF6_cr     Na3AlF6_cr_Alpha
Na3AlF6        Na3AlF6_l
Na5Al3F14      Na5Al3F14_l
NaAlCl4        NaAlCl4_cr
NaAlF4         NaAlF4_g
NaAlO2         NaAlO2_cr
NaBH4          NaBH4_cr
