# Molecular info:
# Radii sources:
# 01  http://www.sigmaaldrich.com/chemistry/chemical-synthesis/learning-center/technical-bulletins/al-1430/molecular-sieves.html
# 02  Mateucci et al. (2006)
# 03  http://www.webelements.com/compounds/ (from density and mass calculation)
# 04  Wolfram Alpha + Wikipedia
# 05  http://www.chemspider.com/Molecular-Formula/C2H2
# 06  R_vanderwaals, Handbook of Chemistry and Physics, Lide.
# 07  Allen's Astrophysical Quantities
# 08  Breck 1974: Zeolite Molecular Sieves: Structure, Chemistry, and Use
# 09  https://github.com/harirakul/chemlib

# Mass source: https://github.com/bjodah/chempy

# Species   Mass         Radius    Diameter   Long
# Name      g/mol        Angstrom  source     name
NaCl         58.439769   0.00      --
NaF          41.988172   0.00      --
NaH          23.997769   0.00      --
NaO          38.988769   0.00      --
NaOH         39.996769   0.00      --
(NaCl)2     116.879539   0.00      --
(NaF)2       83.976345   0.00      --
(NaOH)2      79.993539   0.00      --
Ni           58.693400   1.60      09        Nickel
NiCl         94.143400   0.00      --
NiCl2       129.593400   0.00      --
NiF          77.691803   0.00      --
NiH          59.701400   0.00      --
NiO          74.692400   0.00      --
NiS          90.753400   0.00      --
O            15.999000   1.52      06        Oxygen
O2           31.998800   1.73      02        Molecular_oxygen
O2W(OH)2    249.852000   0.00      --
O3           47.997000   0.00      --
OAlCl        78.430539   0.00      --
OAlF         61.978942   0.00      --
OAlF2        80.977345   0.00      --
OAlH         43.988539   0.00      --
OAlOH        59.987539   0.00      --
OCS          60.070000   0.00      --
OH           17.007000   0.00      --
OTiCl        99.316000   0.00      --
OTiF         82.864403   0.00      --
P            30.973762   1.20      09        Phosphorus
P2           61.947524   0.00      --
cis-P2H2     63.963524   0.00      --
trans-P2H2   63.963524   0.00      --
PF3          87.968971   0.00      --
PH           31.981762   0.00      --
PH2          32.989762   0.00      --
PH3          33.997762   0.00      --
PN           44.980762   0.00      --
PO           46.972762   0.00      --
PO2          62.971762   0.00      --
PS           63.033762   0.00      --
(P2O3)2     219.889048   0.00      --
S            32.060000   1.80      06        Sulfur
S2           64.120000   0.00      --
SF6         146.050419   0.00      --
SH           33.068000   0.00      --        Hydrosulfide
SO           48.059000   0.00      --
SO2          64.066000   1.80      08        Sulfur_dioxide
SO3          80.057000   0.00      --
ScH          45.963908   0.00      --
Si           28.085000   2.10      06        Silicon
Si(CH3)4     88.225000   0.00      --
Si2          56.170000   0.00      --
SiC          40.096000   0.00      --
SiH          29.093000   0.00      --
SiH2         30.101000   0.00      --
SiH3         31.109000   0.00      --
SiH3F        50.107403   0.00      --
SiH4         32.117000   0.00      --
SiN          42.092000   0.00      --
SiO          44.084000   0.00      --
SiO2         60.083000   0.00      --
SiS          60.145000   0.00      --
Ti           47.867000   1.47      06        Titanium
TiCl         83.317000   0.00      --
TiCl2       118.767000   0.00      --
TiCl3       154.217000   0.00      --
TiF          66.865403   0.00      --
