# YSES-1b SINFONI emission data from Zhang et al. (2021), Nat, 595.

# The @DEPTH_UNITS defines the spectrum and uncert units
# (none, percent, ppt, ppm, f_lambda), with f_lambda => W m⁻² μm⁻¹
@DEPTH_UNITS
f_lambda

# The @DATA flag sets the data
# flux            flux_err         wavelength  half_width    instrument
@DATA
 8.44989250e-16   1.96781356e-17     2.116710    0.000000    sinfoni
 7.88732338e-16   1.96971416e-17     2.116960    0.000000    sinfoni
 7.67456572e-16   1.96070562e-17     2.117210    0.000000    sinfoni
 7.71390632e-16   2.12262069e-17     2.117460    0.000000    sinfoni
 7.88957944e-16   2.04357357e-17     2.117711    0.000000    sinfoni
 7.76132189e-16   2.00213133e-17     2.117961    0.000000    sinfoni
 8.03768909e-16   1.98958001e-17     2.118211    0.000000    sinfoni
 8.11548340e-16   2.01555168e-17     2.118461    0.000000    sinfoni
 8.26594216e-16   1.97844667e-17     2.118712    0.000000    sinfoni
 8.18704290e-16   1.96015386e-17     2.118962    0.000000    sinfoni
 8.16114422e-16   1.96894359e-17     2.119212    0.000000    sinfoni
 8.06521144e-16   1.97044082e-17     2.119463    0.000000    sinfoni
 8.47707863e-16   1.97706751e-17     2.119713    0.000000    sinfoni
 8.49276032e-16   2.01099757e-17     2.119964    0.000000    sinfoni
 8.28531467e-16   1.99105302e-17     2.120213    0.000000    sinfoni
 7.99637478e-16   1.95345584e-17     2.120464    0.000000    sinfoni
 8.12670182e-16   1.92423149e-17     2.120714    0.000000    sinfoni
 8.22028612e-16   1.91162192e-17     2.120964    0.000000    sinfoni
 8.17450666e-16   1.98230661e-17     2.121215    0.000000    sinfoni
 8.29560072e-16   1.94599419e-17     2.121465    0.000000    sinfoni
 8.31095203e-16   1.93566099e-17     2.121716    0.000000    sinfoni
 8.43303941e-16   1.94284676e-17     2.121966    0.000000    sinfoni
 8.34123085e-16   1.94806395e-17     2.122216    0.000000    sinfoni
 8.50625753e-16   1.93782905e-17     2.122466    0.000000    sinfoni
 8.56358920e-16   1.96999798e-17     2.122717    0.000000    sinfoni
 8.79310931e-16   2.03235710e-17     2.122967    0.000000    sinfoni
 8.47483995e-16   2.01466976e-17     2.123218    0.000000    sinfoni
