# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (e.g., none, percent, ppt, ppm)
@DEPTH_UNITS
ppm

# depth  depth_err    wl      half_width    instrument
@DATA
21200.6    103.8      0.64647    0.00339    niriss_soss2
21152.9     96.7      0.65327    0.00341    niriss_soss2
21149.8     89.3      0.66009    0.00342    niriss_soss2
21350.6     89.8      0.66695    0.00344    niriss_soss2
21116.5     82.8      0.67384    0.00345    niriss_soss2
21043.1     85.7      0.68076    0.00347    niriss_soss2
21122.6     82.9      0.68770    0.00348    niriss_soss2
21220.1     83.2      0.69468    0.00349    niriss_soss2
21213.0     75.9      0.70190    0.00373    niriss_soss2
21139.6     61.2      0.71269    0.00706    niriss_soss2
21159.8     75.7      0.73420    0.00379    niriss_soss2
21152.1     82.0      0.74179    0.00381    niriss_soss2
21108.5     81.9      0.74942    0.00382    niriss_soss2
21107.9     79.1      0.75707    0.00383    niriss_soss2
21415.5     81.0      0.76475    0.00385    niriss_soss2
21178.2     81.1      0.77268    0.00409    niriss_soss2
21031.0     86.9      0.78086    0.00410    niriss_soss2
21114.7     89.0      0.78908    0.00411    niriss_soss2
21156.7     91.6      0.79731    0.00413    niriss_soss2
21157.4     87.2      0.80558    0.00414    niriss_soss2
21090.7     95.8      0.81386    0.00415    niriss_soss2
20967.0     95.2      0.82217    0.00416    niriss_soss2
21111.3    107.1      0.83051    0.00417    niriss_soss2
21060.6    107.3      0.83910    0.00442    niriss_soss2
21057.6    105.6      0.84841    0.00489    niriss_soss2

20943.2     87.1      0.87711    0.00445    niriss_soss1
21115.9     85.6      0.88603    0.00446    niriss_soss1
21123.2     85.0      0.89542    0.00492    niriss_soss1
21104.5     79.9      0.90528    0.00494    niriss_soss1
21099.9     78.9      0.91516    0.00495    niriss_soss1
21272.6     80.0      0.92507    0.00496    niriss_soss1
21252.3     78.8      0.93501    0.00497    niriss_soss1
21349.3     80.3      0.94497    0.00499    niriss_soss1
21277.1     77.5      0.95496    0.00500    niriss_soss1
21225.5     78.6      0.96497    0.00501    niriss_soss1
21089.7     78.5      0.97500    0.00502    niriss_soss1
20885.8     76.2      0.98506    0.00503    niriss_soss1
21051.4     74.2      0.99514    0.00505    niriss_soss1
21090.7     73.8      1.00524    0.00506    niriss_soss1
20993.5     73.2      1.01583    0.00553    niriss_soss1
21025.9     72.3      1.02690    0.00554    niriss_soss1
20997.5     72.2      1.03799    0.00555    niriss_soss1
21002.4     71.6      1.04911    0.00556    niriss_soss1
21023.2     69.9      1.06025    0.00558    niriss_soss1
20996.2     70.0      1.07141    0.00559    niriss_soss1
21262.1     73.8      1.08260    0.00560    niriss_soss1
21119.9     74.4      1.09381    0.00561    niriss_soss1
21282.5     71.6      1.10504    0.00562    niriss_soss1
21351.1     69.9      1.11629    0.00563    niriss_soss1
21283.4     69.1      1.12803    0.00611    niriss_soss1
21394.0     67.4      1.14027    0.00612    niriss_soss1
21213.8     67.7      1.15252    0.00613    niriss_soss1
21295.1     70.5      1.16480    0.00614    niriss_soss1
21281.2     67.8      1.17710    0.00616    niriss_soss1
21181.7     67.4      1.18942    0.00617    niriss_soss1
21170.5     67.2      1.20176    0.00618    niriss_soss1
21096.4     66.6      1.21412    0.00619    niriss_soss1
21121.1     67.0      1.22650    0.00619    niriss_soss1
21044.1     63.0      1.24320    0.01050    niriss_soss1
20968.5     68.7      1.26232    0.00670    niriss_soss1
20976.0     69.1      1.27572    0.00671    niriss_soss1
20963.5     66.7      1.28915    0.00672    niriss_soss1
20976.5     67.3      1.30259    0.00673    niriss_soss1
21172.7     69.1      1.31605    0.00673    niriss_soss1
21289.6     69.8      1.32953    0.00674    niriss_soss1
21403.8     70.4      1.34302    0.00675    niriss_soss1
21620.8     68.3      1.35701    0.00724    niriss_soss1
21509.5     70.0      1.37150    0.00725    niriss_soss1
21515.5     68.8      1.38601    0.00726    niriss_soss1
21541.3     70.1      1.40053    0.00727    niriss_soss1
21549.3     70.5      1.41507    0.00727    niriss_soss1
21616.2     70.6      1.42962    0.00728    niriss_soss1
21571.0     71.8      1.44419    0.00729    niriss_soss1
21372.3     71.7      1.45926    0.00778    niriss_soss1
21469.9     71.2      1.47482    0.00779    niriss_soss1
21301.3     70.1      1.49040    0.00779    niriss_soss1
21291.7     74.2      1.50599    0.00780    niriss_soss1
21201.2     72.6      1.52160    0.00780    niriss_soss1
21112.6     74.2      1.53721    0.00781    niriss_soss1
21092.3     76.3      1.55283    0.00782    niriss_soss1
21178.6     72.5      1.56896    0.00831    niriss_soss1
21015.4     72.0      1.58558    0.00831    niriss_soss1
20997.3     76.0      1.60221    0.00832    niriss_soss1
20994.8     78.2      1.61885    0.00832    niriss_soss1
20962.3     76.5      1.63550    0.00833    niriss_soss1
20894.0     78.7      1.65216    0.00833    niriss_soss1
20910.3     78.2      1.66932    0.00882    niriss_soss1
20893.9     79.6      1.68697    0.00883    niriss_soss1
20824.1     78.7      1.70463    0.00883    niriss_soss1
21024.1     83.5      1.72229    0.00883    niriss_soss1
21035.2     81.9      1.73996    0.00884    niriss_soss1
21210.4     84.1      1.75764    0.00884    niriss_soss1
21175.6     82.8      1.77581    0.00933    niriss_soss1
21232.2     85.2      1.79447    0.00933    niriss_soss1
21270.8     86.3      1.81314    0.00934    niriss_soss1
21315.9     90.5      1.83181    0.00934    niriss_soss1
21632.2     94.1      1.85049    0.00934    niriss_soss1
21497.0     90.1      1.86966    0.00983    niriss_soss1
21512.0     94.7      1.88932    0.00983    niriss_soss1
21324.4     93.7      1.90898    0.00983    niriss_soss1
21269.6     96.8      1.92865    0.00983    niriss_soss1
21303.4     97.9      1.94831    0.00983    niriss_soss1
21539.5     96.9      1.96847    0.01033    niriss_soss1
21015.1     98.6      1.99011    0.01131    niriss_soss1
21408.5    104.9      2.03042    0.01033    niriss_soss1
21095.9    102.6      2.05108    0.01033    niriss_soss1
21070.9    109.6      2.07222    0.01082    niriss_soss1
21033.0    102.2      2.09385    0.01082    niriss_soss1
20950.8    112.4      2.11549    0.01082    niriss_soss1
