# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
ppm

# depth    depth_err     wl  half_width    instrument
@DATA
  211.90      7.60   {FILTERS}cheops.dat
  340.40      7.00   {FILTERS}tess.dat
 3098.00    112.00   {FILTERS}spitzer_irac1.dat
 3925.00     25.00   {FILTERS}spitzer_irac2.dat
 4080.00    230.00   {FILTERS}spitzer_irac3.dat
 4350.00    205.00   {FILTERS}spitzer_irac4.dat
  969.14     67.41     1.32466    0.00241    NIRISS
 1037.23     64.18     1.32947    0.00241    NIRISS
 1002.14     61.73     1.33429    0.00241    NIRISS
 1019.40     66.57     1.33911    0.00241    NIRISS
 1109.28     67.25     1.34393    0.00241    NIRISS
 1051.61     67.09     1.34875    0.00241    NIRISS
 1068.08     63.09     1.35357    0.00241    NIRISS
 1094.72     66.79     1.35840    0.00241    NIRISS
 1051.97     63.46     1.36323    0.00241    NIRISS
 1090.89     66.96     1.36806    0.00242    NIRISS
 1034.04     65.03     1.37289    0.00242    NIRISS
 1121.96     64.69     1.37772    0.00242    NIRISS
 1051.97     65.85     1.38256    0.00242    NIRISS
 1109.20     69.70     1.38740    0.00242    NIRISS
 1191.48     64.78     1.39223    0.00242    NIRISS
 1252.41     67.55     1.39708    0.00242    NIRISS
 1220.10     76.33     1.40192    0.00242    NIRISS
 1119.71     66.25     1.40676    0.00242    NIRISS
 1093.59     70.26     1.41161    0.00242    NIRISS
 1114.68     71.93     1.41646    0.00242    NIRISS
 1226.04     64.57     1.42130    0.00242    NIRISS
 1142.34     70.26     1.42615    0.00243    NIRISS
 1250.47     71.30     1.43101    0.00243    NIRISS
 1268.16     73.13     1.43586    0.00243    NIRISS
 1255.68     71.73     1.44072    0.00243    NIRISS
 1301.51     79.59     1.44557    0.00243    NIRISS
 1154.62     73.25     1.45043    0.00243    NIRISS
 1314.45     77.89     1.45529    0.00243    NIRISS
 1281.35     71.71     1.46015    0.00243    NIRISS
 1107.19     73.87     1.46501    0.00243    NIRISS
 1257.65     78.47     1.46988    0.00243    NIRISS
 1264.04     76.13     1.47474    0.00243    NIRISS
 1200.85     73.54     1.47961    0.00243    NIRISS
 1098.45     76.93     1.48448    0.00243    NIRISS
 1212.30     83.64     1.48935    0.00243    NIRISS
 1261.10     78.37     1.49422    0.00244    NIRISS
 1320.95     68.88     1.49909    0.00244    NIRISS
 1302.58     80.22     1.50396    0.00244    NIRISS
 1292.80     69.40     1.50883    0.00244    NIRISS
 1269.98     75.39     1.51371    0.00244    NIRISS
 1296.50     69.89     1.51859    0.00244    NIRISS
