# Simulated JWST transit observation of WASP-107b like planet
# with NIRISS/SOSS

@DEPTH_UNITS
percent

#     depth    depth_err   wavelength  half_width    instrument
@DATA
    2.05058      0.00876     1.794565    0.005982    soss_order1
    2.05952      0.00862     1.806569    0.006022    soss_order1
    2.05451      0.00906     1.818653    0.006062    soss_order1
    2.06800      0.00885     1.830818    0.006103    soss_order1
    2.05688      0.00948     1.843064    0.006144    soss_order1
    2.05679      0.00916     1.855392    0.006185    soss_order1
    2.07492      0.00931     1.867803    0.006226    soss_order1
    2.06760      0.00948     1.880296    0.006268    soss_order1
    2.09593      0.00972     1.892874    0.006310    soss_order1
    2.07910      0.00973     1.905535    0.006352    soss_order1
    2.08072      0.00988     1.918281    0.006394    soss_order1
    2.09266      0.01016     1.931112    0.006437    soss_order1
    2.12723      0.01006     1.944030    0.006480    soss_order1
    2.09929      0.01040     1.957033    0.006523    soss_order1
    2.08893      0.01016     1.970124    0.006567    soss_order1
    2.09342      0.01107     1.983302    0.006611    soss_order1
    2.06756      0.01052     1.996568    0.006655    soss_order1
    2.06398      0.01053     2.009923    0.006700    soss_order1
    2.09424      0.01073     2.023367    0.006745    soss_order1
    2.05829      0.01090     2.036901    0.006790    soss_order1
    2.04034      0.01104     2.050526    0.006835    soss_order1
    2.04420      0.01136     2.064242    0.006881    soss_order1
    2.05242      0.01142     2.078050    0.006927    soss_order1
    2.04287      0.01123     2.091950    0.006973    soss_order1
    2.03687      0.01178     2.105943    0.007020    soss_order1
    2.02336      0.01160     2.120029    0.007067    soss_order1
    2.03195      0.01210     2.134210    0.007114    soss_order1
    2.02570      0.01185     2.148486    0.007162    soss_order1
    2.03065      0.01205     2.162857    0.007210    soss_order1
    2.04540      0.01229     2.177324    0.007258    soss_order1
    2.04562      0.01247     2.191888    0.007306    soss_order1
    2.04163      0.01275     2.206550    0.007355    soss_order1
    2.02553      0.01244     2.221309    0.007404    soss_order1
    2.03097      0.01307     2.236167    0.007454    soss_order1
    2.02853      0.01327     2.251125    0.007504    soss_order1
    2.07118      0.01311     2.266183    0.007554    soss_order1
    2.02586      0.01336     2.281341    0.007604    soss_order1
    2.04418      0.01442     2.296601    0.007655    soss_order1
    2.04481      0.01391     2.311963    0.007707    soss_order1
    2.05696      0.01461     2.327427    0.007758    soss_order1
    2.05342      0.01453     2.342996    0.007810    soss_order1
    2.03066      0.01477     2.358668    0.007862    soss_order1
    2.08689      0.01514     2.374445    0.007915    soss_order1
    2.06250      0.01583     2.390327    0.007968    soss_order1
    2.05414      0.01523     2.406316    0.008021    soss_order1
    2.02249      0.01577     2.422412    0.008075    soss_order1
    2.06907      0.01625     2.438615    0.008129    soss_order1
    2.04838      0.01665     2.454927    0.008183    soss_order1
    2.05460      0.01653     2.471348    0.008238    soss_order1
    2.05614      0.01775     2.487879    0.008293    soss_order1
    2.05769      0.01775     2.504520    0.008348    soss_order1
    2.06491      0.01765     2.521273    0.008404    soss_order1
    2.06289      0.01822     2.538138    0.008460    soss_order1
    2.11013      0.01796     2.555115    0.008517    soss_order1
    2.12275      0.01846     2.572206    0.008574    soss_order1
    2.13503      0.01821     2.589411    0.008631    soss_order1
    2.12963      0.01818     2.606732    0.008689    soss_order1
    2.09533      0.01880     2.624168    0.008747    soss_order1
    2.08314      0.01915     2.641721    0.008806    soss_order1
    2.13326      0.01916     2.659392    0.008865    soss_order1
    2.15973      0.01960     2.677180    0.008924    soss_order1
    2.16989      0.01919     2.695088    0.008984    soss_order1
    2.18496      0.02026     2.713115    0.009044    soss_order1
    2.13930      0.01994     2.731263    0.009104    soss_order1
    2.13150      0.02035     2.749532    0.009165    soss_order1
    2.12761      0.02083     2.767924    0.009226    soss_order1
    2.14887      0.02147     2.786438    0.009288    soss_order1
    2.14482      0.02717     2.802213    0.006487    soss_order1
    2.10712      0.01143     0.704353    0.002348    soss_order2
    2.10445      0.01083     0.709064    0.002364    soss_order2
    2.11995      0.01157     0.713807    0.002379    soss_order2
    2.11182      0.01147     0.718582    0.002395    soss_order2
    2.12070      0.01066     0.723388    0.002411    soss_order2
    2.11993      0.01062     0.728227    0.002427    soss_order2
    2.08551      0.01117     0.733098    0.002444    soss_order2
    2.10154      0.01071     0.738002    0.002460    soss_order2
    2.09258      0.01077     0.742938    0.002476    soss_order2
    2.10009      0.01075     0.747908    0.002493    soss_order2
    2.07548      0.01081     0.752910    0.002510    soss_order2
    2.06260      0.01158     0.757947    0.002526    soss_order2
    2.11911      0.01073     0.763016    0.002543    soss_order2
    2.17662      0.01161     0.768120    0.002560    soss_order2
    2.12119      0.01179     0.773258    0.002578    soss_order2
    2.08097      0.01186     0.778430    0.002595    soss_order2
    2.08624      0.01162     0.783637    0.002612    soss_order2
    2.08810      0.01229     0.788879    0.002630    soss_order2
    2.08212      0.01216     0.794156    0.002647    soss_order2
    2.07075      0.01293     0.799468    0.002665    soss_order2
    2.08501      0.01278     0.804815    0.002683    soss_order2
    2.07404      0.01316     0.810199    0.002701    soss_order2
    2.06578      0.01346     0.815618    0.002719    soss_order2
    2.06560      0.01405     0.821074    0.002737    soss_order2
